type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,ph,sulphates,alcohol,density,quality_grade
red,9.7,0.508,0.396,5.59,0.0813,3.348,0.524,10.78,0.99434,Low
red,7.41,0.539,0.149,2.74,0.0883,3.109,0.416,10.98,0.99623,Low
white,5.91,0.234,0.293,8.5,0.07,3.52,0.525,11.71,0.99527,High
white,6.78,0.47,0.303,8.56,0.0629,2.914,,11.9,0.99482,Medium
red,9.31,0.406,0.385,4.94,0.069,2.962,0.551,11.36,0.99666,Medium
white,5.54,0.297,0.235,10.04,0.059,3.463,0.561,9.78,0.9948,Medium
red,6.57,0.53,0.01,9.58,0.108,3.271,0.352,9.32,0.99909,Low
white,7.91,0.539,0.18,6.55,0.0367,,0.378,10.96,0.99715,Low
red,7.74,0.478,0.303,5.0,0.1118,,0.529,9.57,0.99688,Low
white,6.57,0.273,0.318,5.58,0.0558,3.286,0.524,11.95,0.9949,Medium
red,6.36,0.465,0.512,5.94,0.0735,3.245,0.531,8.61,0.99876,Low
red,7.65,0.686,0.38,3.24,0.0666,,0.558,11.0,0.99664,Medium
white,6.99,0.059,0.32,8.66,0.0467,3.323,0.445,10.74,0.99582,High
red,9.42,0.42,0.306,,0.0507,3.299,0.416,10.18,0.99544,Low
red,7.55,0.793,0.443,2.51,0.0738,3.414,0.526,9.43,0.99948,Low
red,10.22,0.579,0.239,6.55,0.0761,3.465,0.564,8.24,0.9995,Low
white,6.25,0.229,0.293,12.53,0.0339,3.25,0.493,9.84,0.99735,Medium
white,6.25,0.336,0.179,10.55,0.0612,3.016,0.543,9.86,0.99734,Low
white,8.69,0.347,0.48,6.59,0.0467,3.466,0.58,11.57,0.99621,High
red,8.63,0.605,0.357,5.28,0.0705,3.047,0.672,9.58,0.9981,Low
red,7.79,0.704,0.225,5.59,0.0751,3.251,0.514,10.88,0.99439,Medium
red,8.23,0.559,0.296,5.05,0.0853,3.161,0.401,9.04,0.99761,Low
white,8.49,0.286,0.371,6.07,0.0511,3.135,0.683,10.9,0.99584,High
white,8.61,0.419,0.28,6.83,0.0395,3.315,0.576,8.05,0.99867,Low
white,6.1,0.27,0.246,8.02,0.0519,3.237,0.415,12.6,0.99541,High
,6.95,0.237,0.231,9.22,0.0492,3.277,0.563,10.25,0.99522,High
red,8.5,0.344,0.351,4.07,0.0629,3.078,0.718,8.0,0.99765,Low
white,5.92,0.183,0.267,5.5,0.0457,3.174,0.738,9.65,0.99676,Medium
white,6.94,0.25,0.256,7.39,0.0587,3.085,0.56,9.48,0.99767,Medium
red,8.41,0.402,0.15,12.59,0.0886,3.17,0.717,9.71,0.99807,Low
red,9.65,0.551,0.319,6.58,0.0766,3.182,0.445,10.02,0.99851,Low
red,9.73,0.4,0.288,5.93,0.0902,3.477,0.586,9.7,0.99707,Medium
red,8.04,0.206,0.271,3.6,0.0653,3.161,0.55,9.54,0.99822,Medium
red,8.16,0.416,0.334,4.28,0.0658,2.881,0.631,9.18,0.99844,Low
white,7.73,0.293,0.4,5.46,0.0462,3.409,0.723,11.26,0.99641,High
white,6.36,0.279,0.394,6.69,0.0725,3.267,0.56,11.66,0.99554,High
red,9.05,0.672,0.376,6.4,0.0824,3.18,0.477,10.13,0.99658,Low
red,8.3,0.459,0.281,5.95,0.0759,3.134,0.438,10.38,0.99576,Low
white,5.93,0.428,0.242,7.09,0.0732,3.058,0.727,9.22,0.99674,Low
white,5.95,0.338,0.185,8.24,0.0457,3.491,0.592,10.47,0.99695,Medium
white,8.59,0.336,0.239,8.69,0.0835,3.208,0.584,10.64,0.99644,Medium
red,8.23,0.436,0.312,3.99,0.0723,2.939,0.549,10.17,0.99653,Medium
white,8.8,0.334,0.216,9.98,0.0348,3.249,0.562,10.82,0.99692,Medium
red,7.84,0.443,0.322,,0.0775,3.381,0.472,10.72,0.99623,Medium
red,8.72,0.537,0.194,4.36,0.0763,3.223,0.636,9.29,0.99688,Low
white,9.63,0.316,0.111,6.14,0.0379,3.065,0.389,11.65,0.99534,High
white,5.84,0.246,0.408,7.41,0.089,3.051,0.487,10.18,0.99764,Medium
white,4.91,0.439,0.253,7.28,0.0548,3.062,0.453,12.16,0.99419,Low
white,8.42,0.383,0.21,7.09,0.057,3.428,0.2,10.84,0.99649,Low
white,6.09,0.295,0.179,5.74,0.0431,3.189,0.488,12.47,0.99479,High
red,8.38,0.535,0.361,10.72,0.0713,2.948,0.482,11.63,0.99491,Medium
red,7.76,0.512,0.475,10.43,0.0954,3.258,0.565,10.64,0.99622,Medium
red,8.69,0.433,0.262,4.95,0.0549,3.221,0.59,9.64,0.99597,Low
red,7.35,0.527,0.284,6.0,0.0629,3.133,0.802,9.66,0.99746,Medium
white,6.8,0.278,0.439,9.91,0.0463,3.047,0.567,10.96,0.99497,High
red,8.89,0.426,0.093,4.99,0.1003,3.04,0.63,10.55,0.99753,Low
white,5.89,0.178,0.546,9.43,0.0444,3.363,0.589,9.78,0.99718,High
white,6.23,0.304,0.603,10.42,0.0562,3.237,0.635,11.27,0.9954,High
white,6.62,0.397,0.0,8.98,0.0504,3.272,0.585,10.44,0.99771,Low
red,6.83,0.451,0.298,7.91,0.0994,,0.624,11.28,0.99498,Medium
white,6.54,0.592,0.224,7.03,0.0262,3.249,0.615,9.38,0.99695,Low
white,7.13,0.429,0.278,8.48,0.061,3.13,0.239,11.45,0.99411,Medium
,6.56,0.47,0.26,22.75,0.047,3.169,0.781,10.93,0.9974,High
white,6.7,0.42,0.407,12.12,0.0639,3.375,0.721,11.66,0.99725,High
white,6.98,0.525,0.296,9.05,0.0377,3.412,0.556,11.43,0.99427,Medium
white,6.28,0.261,0.201,6.56,0.0504,3.017,0.36,10.31,0.99605,Medium
red,9.16,0.264,0.289,5.42,0.0785,3.169,0.735,10.23,0.99692,High
white,8.58,0.295,0.372,11.79,0.035,3.326,0.447,12.27,0.99455,High
red,7.89,0.576,0.168,7.66,0.0608,3.482,0.654,10.09,0.99695,Low
,7.53,0.355,0.112,5.56,0.0413,3.467,0.376,11.19,0.99588,Low
white,6.74,0.368,0.549,5.77,0.0519,3.081,0.797,10.0,0.99743,High
white,7.4,0.472,0.233,5.81,0.0386,3.391,0.357,8.45,0.99759,Low
red,10.12,0.558,0.294,6.77,0.075,3.209,0.598,9.11,0.99803,Low
red,8.96,0.6,0.262,2.62,0.0517,3.357,0.335,10.83,0.99531,Low
white,5.05,0.246,0.376,6.49,0.0444,3.318,0.525,11.14,0.99566,Medium
red,8.9,0.41,0.523,4.9,0.0954,3.01,0.539,10.83,0.99475,Low
red,9.76,0.681,0.38,9.38,0.0906,3.282,0.726,11.6,0.99526,Medium
red,8.16,0.53,0.128,6.94,0.0787,3.351,0.539,10.81,0.99582,Low
red,9.5,0.458,0.144,4.62,0.0837,3.197,0.727,9.59,0.99828,Medium
white,6.24,0.278,0.262,11.23,0.0376,3.163,0.407,11.02,0.99609,Medium
white,5.37,0.275,0.278,17.9,0.0744,2.964,0.496,10.58,0.99665,Medium
red,8.56,0.449,0.103,5.44,0.111,3.303,0.559,9.8,0.99722,Low
red,6.47,0.392,0.408,2.88,0.0825,3.231,0.649,10.9,0.99433,High
red,8.14,0.37,0.18,3.34,0.1189,3.062,0.634,10.48,0.99483,Low
red,9.82,0.5,0.489,3.33,0.0698,3.151,,9.76,0.99699,High
red,6.3,0.461,0.528,3.66,0.0612,3.223,0.622,10.21,0.99712,High
white,5.59,0.451,0.28,7.66,0.0394,3.116,0.609,11.88,0.99516,High
red,7.26,0.549,0.363,6.11,0.0767,3.2,0.482,11.85,0.99462,Medium
red,8.33,0.547,0.162,2.72,0.1147,2.938,0.637,10.6,0.9963,Low
red,8.0,0.446,0.385,2.9,0.0758,3.402,0.783,10.46,0.99635,High
red,9.94,0.508,0.25,7.19,0.0671,3.202,0.388,8.9,0.99875,Low
red,9.45,0.556,0.18,4.09,0.0665,3.035,0.649,12.21,0.99572,Medium
red,8.94,0.592,0.275,3.48,0.0971,2.831,0.671,11.49,0.99522,Low
white,7.16,0.331,0.254,7.91,0.065,,0.705,11.19,0.99594,High
red,8.83,0.628,0.271,10.29,0.0727,,0.677,8.01,0.9991,Low
white,6.05,0.341,0.424,10.92,0.0219,3.232,0.542,10.44,0.99705,High
,7.94,0.419,0.216,10.64,0.0331,3.33,0.582,10.27,0.9983,Medium
red,7.18,0.471,0.518,12.32,0.1058,3.329,0.502,11.12,0.99603,Medium
red,9.32,0.339,0.151,6.26,0.0903,3.229,0.543,9.93,0.99817,Medium
white,8.3,0.367,0.504,16.16,0.051,3.162,0.37,10.16,0.99587,Medium
white,7.23,0.413,0.188,16.76,0.078,3.137,0.708,11.05,0.99554,Medium
red,8.21,0.578,0.31,2.75,0.1094,3.263,0.644,9.59,0.99551,Low
red,8.84,0.562,0.251,2.49,0.0795,3.41,0.48,9.8,0.99738,Low
red,5.25,0.485,0.269,3.24,0.0797,3.185,0.623,10.6,0.9971,Medium
white,7.33,0.259,0.406,12.92,0.0413,3.421,0.669,11.81,0.99313,High
white,6.88,0.395,0.49,,0.0457,3.256,,11.25,0.9961,High
red,8.34,0.563,0.453,4.47,0.0577,3.257,0.479,11.53,0.99623,High
red,9.18,0.464,0.261,8.15,0.0576,3.561,0.214,10.47,0.99713,Low
white,6.92,0.451,0.332,7.19,0.0242,3.448,,11.97,0.99421,High
red,7.15,0.432,0.216,5.85,0.0963,3.452,0.484,8.57,0.99904,Low
white,6.84,0.282,0.191,10.39,0.0266,3.08,0.605,12.52,0.9948,High
white,7.07,0.504,0.172,6.56,0.0792,3.529,0.644,12.66,0.9952,High
red,8.53,0.607,0.257,3.05,0.069,,0.724,10.88,0.99615,Low
red,8.58,0.484,0.34,5.43,0.1061,3.166,0.799,11.27,0.99626,High
red,9.54,0.549,0.081,5.79,0.0745,2.876,0.738,10.36,0.99773,Low
white,5.81,0.355,0.304,11.01,0.0265,,0.74,10.18,0.99671,Medium
red,8.59,0.245,0.492,3.2,0.0993,3.037,0.755,9.76,0.99753,Medium
red,9.82,0.429,0.445,,0.101,3.261,0.766,10.35,0.99787,Medium
red,6.49,0.515,0.24,13.48,0.0664,3.026,0.585,10.98,0.99606,Medium
red,8.6,0.484,0.142,8.81,0.075,3.47,0.435,10.84,0.99529,Low
white,6.36,0.365,0.365,8.18,0.0364,3.283,0.828,12.49,0.99543,High
red,7.99,0.633,0.032,9.59,0.0782,3.542,0.598,10.51,0.99789,Low
white,6.0,0.308,0.443,6.41,0.0516,3.047,0.677,8.84,0.99926,Medium
white,6.81,0.234,0.284,7.9,0.0447,3.432,0.464,12.13,0.99579,High
white,9.03,0.372,0.53,8.96,0.0227,2.93,0.646,9.12,0.99574,Medium
red,7.01,0.487,0.103,4.44,0.0713,3.231,,9.81,0.99666,Low
white,5.71,0.324,0.42,7.71,0.0606,3.105,0.481,10.69,0.99591,Medium
white,5.57,0.311,0.298,10.8,0.0469,3.133,0.518,10.84,0.99634,High
red,10.3,0.744,0.27,8.88,0.0751,3.123,,8.88,0.99959,Low
white,6.49,0.116,0.146,7.41,0.036,3.063,0.659,9.62,0.99643,High
white,6.97,0.301,0.381,6.0,0.0408,3.011,0.399,8.85,1.00011,Medium
red,7.96,0.52,0.391,2.6,0.1011,3.134,0.669,11.05,0.99577,Medium
white,5.96,0.262,0.524,5.4,0.0329,3.217,0.677,11.64,0.99489,High
white,6.74,0.43,0.431,15.4,0.0608,3.375,0.812,9.12,0.99861,Medium
white,9.7,0.421,0.239,10.82,0.0507,3.244,0.615,11.45,0.99659,High
white,8.53,0.335,0.19,9.94,0.0537,3.375,0.475,11.38,0.9964,Medium
red,7.46,0.493,0.146,,0.069,2.978,0.437,9.71,0.99663,Low
white,7.71,0.329,0.487,7.15,0.0447,3.135,0.75,8.32,0.99902,Medium
red,7.49,0.51,0.217,9.04,0.0799,3.307,0.678,9.28,0.99678,Low
white,5.05,0.332,0.488,5.7,0.0422,3.251,0.527,9.77,0.99655,Medium
white,8.12,0.321,0.373,7.5,0.055,3.071,0.336,12.02,0.99516,High
red,9.68,0.545,0.35,9.77,0.0869,3.34,0.478,10.28,0.99607,Low
red,9.55,0.595,0.273,4.3,0.1126,3.12,0.666,9.34,0.9986,Low
red,7.88,0.397,0.389,,0.0842,3.083,0.632,10.56,0.99604,Medium
red,8.22,0.415,0.308,5.08,0.0513,3.273,0.356,9.04,0.99773,Low
red,9.22,0.345,0.266,1.92,0.0974,3.201,0.666,10.94,0.99542,Medium
red,8.83,0.607,0.394,4.97,0.0769,3.122,0.402,9.37,0.99856,Low
red,7.97,0.545,0.293,5.48,0.1102,3.116,0.752,9.53,0.99688,Low
red,6.62,0.571,0.214,4.78,0.1021,3.04,0.615,10.79,0.99738,Low
white,7.13,0.197,0.382,6.19,0.0424,3.141,0.474,12.24,0.99601,High
white,8.19,0.518,0.302,8.01,0.0608,3.365,0.649,12.71,0.99422,Medium
white,5.68,0.279,0.369,5.44,0.0411,3.237,0.572,9.31,0.99771,Medium
red,9.1,0.537,0.256,4.28,0.08,3.344,0.749,9.77,0.99684,Low
white,7.36,0.425,0.165,10.93,0.0601,3.277,0.54,10.94,0.99671,Low
white,7.83,0.241,0.518,15.02,0.0667,3.108,0.547,11.63,0.99542,High
red,9.36,0.465,0.496,10.72,0.0934,2.953,0.556,8.13,0.99837,Low
red,7.64,0.538,0.416,3.17,0.0811,3.061,0.622,10.49,0.99666,Medium
white,5.22,0.626,0.263,5.84,0.0873,3.099,0.734,9.89,0.99574,Low
red,7.81,0.55,0.274,5.76,0.0745,3.088,0.53,8.38,0.99845,Low
white,7.98,0.501,0.476,8.5,0.0259,3.347,0.608,9.0,0.99854,Low
white,6.4,0.461,0.268,10.31,0.0288,3.346,0.424,9.8,0.99736,Low
red,7.64,0.557,0.234,3.8,0.1021,3.532,0.342,10.46,0.9975,Low
red,6.4,0.421,0.535,5.38,0.0789,3.085,0.615,11.46,0.99541,High
white,8.93,0.446,0.304,8.44,0.0524,3.44,0.574,10.77,0.99595,Low
white,7.91,0.19,0.522,7.55,0.0419,3.439,0.517,11.39,0.9948,High
red,9.25,0.68,0.142,,0.0732,3.165,0.41,10.43,0.99631,Low
white,8.06,0.36,0.372,10.87,0.0382,3.271,0.567,9.66,0.99914,Medium
white,7.63,0.075,0.559,8.98,0.0571,3.386,0.562,10.21,0.99712,High
white,6.73,0.306,0.314,11.16,0.0485,3.191,0.423,11.13,0.99552,Medium
white,6.82,0.405,0.278,12.23,0.0565,3.18,0.368,11.48,0.99482,Medium
red,7.93,0.496,0.17,5.01,0.0851,3.106,0.56,10.24,0.99541,Low
red,11.3,0.592,0.44,7.69,0.0736,2.846,0.668,9.42,0.99683,Low
white,7.61,0.255,0.218,15.18,0.0281,3.211,0.58,10.75,0.99707,High
red,7.89,0.389,0.299,14.23,0.0568,3.094,0.484,10.9,0.99587,Medium
white,7.51,0.333,0.162,9.36,0.0954,3.039,0.546,11.69,0.99468,Medium
white,5.89,0.343,0.497,,0.0722,3.263,0.636,9.69,0.99658,Medium
red,10.05,0.485,0.449,,0.1001,2.982,0.449,9.7,0.99791,Low
white,6.27,0.463,0.306,10.18,0.0399,3.321,0.538,11.19,0.99592,Medium
red,8.95,0.435,0.172,8.82,0.0801,3.273,0.751,9.97,0.99652,Medium
white,8.17,0.371,0.494,9.23,0.0378,3.14,0.377,9.93,0.99685,Medium
red,8.82,0.527,0.266,13.76,0.0603,3.191,0.729,11.72,0.9975,High
white,7.1,0.184,0.177,15.84,0.0412,3.021,0.724,8.96,0.99909,High
white,7.01,0.208,0.099,8.67,0.0699,3.313,0.503,12.56,0.99608,High
red,8.34,0.521,0.232,5.46,0.0926,3.228,0.549,9.76,0.9957,Low
white,6.37,0.538,0.135,7.39,0.0354,3.239,0.654,11.31,0.99575,Medium
white,6.51,0.398,0.235,10.38,0.0453,,0.508,10.29,0.99622,Medium
white,8.63,0.167,0.399,7.74,0.0612,3.104,0.248,10.68,0.99694,Medium
white,6.88,0.05,0.265,7.3,0.0414,2.972,0.518,10.12,0.99791,High
white,6.14,0.413,0.353,10.3,0.0512,3.344,0.586,11.3,0.99618,Medium
red,7.83,0.51,0.223,3.1,0.086,3.303,0.679,10.04,0.99624,Low
white,8.21,0.454,0.318,12.1,0.0559,3.12,0.424,9.8,0.99665,Low
red,9.14,0.432,0.541,7.25,0.0838,3.261,0.558,12.3,0.99555,High
white,7.62,0.375,0.268,15.46,0.0402,3.389,0.647,10.43,0.99732,High
white,6.72,0.425,0.356,9.41,0.0417,3.371,0.523,9.69,0.99747,Medium
red,9.03,0.475,0.122,7.87,0.063,3.115,0.407,8.84,0.99822,Low
red,7.69,0.477,0.492,8.44,0.0566,,0.739,12.36,0.99498,High
white,6.71,0.343,0.253,13.44,0.0483,3.002,0.504,9.82,0.99746,Medium
red,9.47,0.574,0.436,5.85,0.0922,3.153,0.721,12.56,0.9954,High
white,7.96,0.339,0.295,7.37,0.0293,3.419,0.363,10.82,0.99689,High
red,7.32,0.617,0.383,6.29,0.0841,3.091,0.575,10.55,0.99659,Low
white,6.06,0.294,0.391,12.09,0.0618,3.111,0.591,10.58,0.99649,High
red,8.52,0.387,0.256,9.56,0.0524,3.107,0.58,12.73,0.99452,High
red,10.3,0.718,0.441,2.45,0.0759,3.12,0.448,8.1,0.99807,Low
white,4.89,0.28,0.219,24.6,0.0747,3.198,0.244,10.63,0.99578,Low
white,7.31,0.283,0.403,7.31,0.0583,,0.713,10.12,0.99744,Medium
red,6.89,0.513,0.263,7.95,0.0519,3.363,,10.18,0.99626,Medium
white,6.3,0.347,0.352,14.09,0.0599,3.178,0.67,10.56,0.99729,Medium
white,6.6,0.301,0.255,8.42,0.0388,3.572,0.641,10.12,0.99691,Medium
white,6.54,0.338,0.316,12.97,0.0604,3.024,0.602,10.6,0.99726,High
red,7.81,0.516,0.181,2.44,0.0696,3.438,0.551,10.38,0.99729,Low
white,7.01,0.357,0.34,13.18,0.0492,3.409,0.589,9.02,0.9987,Medium
white,6.41,0.104,0.315,12.5,0.0419,3.138,0.702,10.8,0.99591,High
white,5.39,0.528,0.245,9.92,0.05,3.141,0.54,11.15,0.99639,Medium
white,7.86,0.325,0.303,12.11,0.0415,3.062,0.758,9.83,0.99788,High
white,7.83,0.398,0.326,16.04,0.0466,3.064,0.35,12.36,0.99354,Medium
red,9.33,0.382,0.236,11.09,0.0624,3.2,0.397,11.8,0.99697,Medium
white,5.31,0.293,0.295,8.58,0.0574,3.203,0.649,11.29,0.99794,High
white,7.33,0.273,0.189,9.46,0.0526,2.96,0.432,11.27,0.99677,Medium
white,7.74,0.487,0.591,8.11,0.0258,3.544,0.775,10.43,0.9974,High
red,7.27,0.461,0.437,4.59,0.0949,3.161,,11.6,0.99615,High
red,8.41,0.596,0.343,8.42,0.0774,3.21,0.781,12.05,0.99492,High
white,6.87,0.275,0.451,8.08,0.0524,3.106,0.636,11.25,0.99584,High
red,10.43,0.475,0.072,8.4,0.0915,3.16,0.479,9.8,0.99811,Low
white,9.12,0.315,0.003,8.41,0.0549,3.146,0.331,10.36,0.99586,Low
,6.57,0.648,0.262,5.62,0.0975,3.2,0.769,11.0,0.99521,Low
white,9.74,0.151,0.145,6.79,0.0456,3.198,0.35,11.28,0.99555,Medium
white,5.99,0.208,0.282,11.48,0.0655,3.321,0.72,10.32,0.99736,High
red,9.48,0.325,0.335,2.4,0.0818,3.234,0.67,9.8,0.99646,High
red,9.47,0.411,0.42,,0.0876,3.306,0.581,12.06,0.995,High
white,5.9,0.259,0.173,20.11,0.0561,3.199,0.583,9.27,0.99762,Medium
white,7.54,0.179,0.358,8.92,0.0686,3.235,0.586,9.41,0.99668,Medium
red,8.28,0.447,0.312,5.59,0.0908,,0.566,9.01,0.99576,Low
white,7.61,0.139,0.352,5.85,0.0434,3.35,0.701,9.41,0.99667,High
white,7.25,0.238,0.248,7.43,0.0404,3.248,0.697,11.71,0.99576,High
white,8.32,0.46,0.476,12.16,0.0493,3.176,0.549,11.74,0.99593,High
red,8.48,0.56,0.298,9.69,0.0686,3.172,0.518,10.32,0.99722,Medium
red,8.22,0.539,0.523,6.11,0.0642,3.184,0.747,10.92,0.99678,High
red,9.61,0.42,0.215,8.67,0.0481,3.205,0.347,10.39,0.99615,Low
red,9.04,0.366,0.399,3.63,0.0568,3.192,0.643,9.15,0.99707,Medium
red,9.2,0.406,0.303,6.88,0.1098,3.116,0.679,12.73,0.99494,High
white,6.27,0.336,0.271,14.89,0.0402,3.315,0.431,11.84,0.99521,High
red,7.25,0.607,0.386,7.62,0.1086,3.324,0.707,10.77,0.99718,Medium
white,6.38,0.43,0.274,15.92,0.056,3.468,0.527,9.5,0.99785,Medium
red,7.72,0.583,0.0,,0.0793,3.109,0.525,10.16,0.99807,Low
red,9.26,0.446,0.0,7.12,0.0575,3.3,0.706,9.67,0.99694,Low
white,8.07,0.342,0.463,5.03,0.0501,,0.4,10.5,0.99757,Medium
white,6.83,0.308,0.458,12.77,0.0784,3.324,0.634,10.73,0.99823,High
red,9.97,0.5,0.536,2.98,0.1034,2.982,0.352,10.04,0.99707,Low
red,9.91,0.724,0.308,1.95,0.0841,3.052,0.624,8.87,0.99853,Low
red,8.67,0.344,0.155,2.3,0.0628,3.25,0.595,12.64,0.99385,High
white,6.1,0.317,0.26,13.16,0.0356,3.107,0.465,10.65,0.99728,Medium
white,8.73,0.461,0.311,10.36,0.0372,3.086,0.577,10.88,0.99728,Medium
red,8.33,0.373,0.189,6.2,0.0992,3.127,0.58,9.96,0.99665,Low
red,8.54,0.456,0.508,7.53,0.1045,3.309,0.717,8.76,0.9987,Low
white,6.63,0.287,0.579,5.54,0.0529,3.06,0.597,10.31,0.99703,High
white,6.02,0.318,0.367,8.1,0.0455,3.192,0.584,10.06,0.99736,Medium
white,5.38,0.18,0.309,7.11,0.0732,3.143,0.565,11.15,0.99676,High
white,7.7,0.4,0.155,9.14,0.0353,3.323,0.473,11.35,0.99631,Medium
red,7.54,0.587,0.496,6.06,0.0808,3.327,0.554,11.2,0.99585,Medium
red,11.77,0.571,0.319,7.36,0.0869,2.925,,11.44,0.99651,Medium
red,7.21,0.433,0.275,7.98,0.0671,3.357,0.569,12.29,0.996,High
white,5.62,0.349,0.368,5.57,0.0405,3.108,0.663,10.81,0.99583,High
white,7.56,0.25,0.24,8.13,0.0393,3.235,0.541,11.55,0.99566,High
white,8.68,0.307,0.328,8.72,0.0713,3.059,0.575,10.92,0.99464,Medium
white,7.07,0.555,0.137,6.14,0.0787,3.256,0.362,8.4,0.99903,Low
white,7.63,0.35,0.44,6.02,0.0517,,0.643,10.24,0.99794,Medium
white,4.97,0.221,0.297,5.88,0.046,3.219,0.46,9.49,0.99729,Medium
red,7.65,0.538,0.449,8.64,0.071,3.131,0.465,10.64,0.9966,Low
red,7.22,0.385,0.286,2.5,0.08,3.165,0.788,9.57,0.99725,Low
red,6.32,0.4,0.294,2.64,0.0717,2.98,0.674,11.04,0.99578,Medium
white,7.13,0.236,0.165,9.01,0.0485,3.417,0.647,11.43,0.99598,High
red,5.93,0.476,0.401,6.87,0.0862,3.247,0.645,11.66,0.99486,Medium
white,5.55,0.434,0.205,8.63,0.0439,3.043,0.519,12.1,0.99496,High
white,6.41,0.398,0.252,6.39,0.0472,3.048,0.496,8.64,0.99747,Low
white,6.09,0.392,0.31,6.05,0.0472,3.202,,9.14,0.99836,Medium
red,8.84,0.41,0.325,5.73,0.0752,3.34,0.726,13.47,0.99415,High
red,8.74,0.466,0.105,5.12,0.0734,3.027,0.582,11.46,0.99536,Low
red,9.38,0.547,0.282,4.47,0.0914,3.367,,10.64,0.99652,Medium
white,7.83,0.277,0.405,11.63,0.0234,3.186,,10.43,0.99647,High
white,8.25,0.312,0.265,8.15,0.0736,3.06,0.363,10.34,0.99778,Medium
white,7.0,0.384,0.283,5.95,0.052,3.13,0.323,8.37,0.99813,Low
red,8.73,0.485,0.329,4.49,0.0892,3.462,0.387,9.59,0.998,Low
red,8.96,0.543,0.295,7.29,0.0909,2.992,0.54,10.28,0.99617,Low
red,8.56,0.679,0.186,4.8,0.0694,3.09,0.562,9.65,0.99811,Low
white,6.56,0.323,0.306,10.42,0.0363,3.343,0.612,9.79,0.99818,Medium
white,6.63,0.458,0.429,,0.0345,3.232,0.527,13.09,0.99526,High
red,7.5,0.576,0.184,4.96,0.0763,3.081,0.691,10.14,0.99826,Low
white,7.46,0.193,0.265,8.62,0.0605,3.345,0.535,10.69,0.9967,High
red,8.3,0.41,0.144,4.64,0.0712,3.352,0.592,10.65,0.99759,Medium
white,6.27,0.257,0.423,10.51,0.0591,3.25,0.461,11.02,0.9976,Medium
red,7.67,0.435,0.299,4.57,0.0445,3.108,0.761,9.9,0.99614,Medium
red,7.07,0.511,0.208,6.92,0.0742,3.131,0.406,11.71,0.99498,Low
white,8.08,0.401,0.321,9.31,0.0675,,0.566,10.87,0.99493,High
red,8.49,0.646,0.166,2.29,0.0774,3.003,0.568,9.05,0.99887,Low
red,7.45,0.551,0.186,7.13,0.0676,3.399,0.684,10.29,0.99544,Low
red,9.29,0.475,0.135,5.81,0.0701,3.455,0.588,10.22,0.99526,Low
red,7.78,0.312,0.182,10.42,0.0346,3.165,0.591,10.17,0.99592,Medium
white,5.45,0.347,0.473,6.2,0.0348,3.253,0.498,10.93,0.99466,High
white,8.12,0.343,0.222,9.36,0.0659,3.378,0.697,11.07,0.99634,High
white,6.41,0.358,0.366,7.45,0.0413,3.493,,10.94,0.99524,High
red,7.95,0.731,0.21,2.37,0.073,3.434,0.826,10.76,0.99485,Medium
white,7.05,0.464,0.401,5.37,0.015,2.94,0.563,10.49,0.99658,High
red,9.66,0.599,0.187,11.63,0.0555,3.153,0.593,8.14,0.99875,Low
red,8.42,0.424,0.315,6.17,0.0979,3.275,0.573,11.22,0.99428,Medium
red,7.08,0.469,0.316,4.87,0.0893,3.126,0.658,10.91,0.9956,Medium
white,7.6,0.331,0.589,,0.0305,3.467,0.459,9.37,0.99756,Medium
white,6.47,0.262,0.386,14.44,0.0405,3.444,0.547,10.69,0.99612,Medium
white,9.08,0.39,0.239,52.53,0.0496,3.078,0.531,11.08,0.99579,Medium
white,7.0,0.376,0.392,9.53,0.0321,3.176,0.569,11.63,0.99665,High
white,4.54,0.231,0.567,8.89,0.0199,3.088,0.572,10.94,0.99815,High
white,7.39,0.46,0.114,17.54,0.0476,3.171,,10.74,0.99611,Medium
white,9.14,0.35,0.209,8.55,0.0586,3.166,0.541,11.39,0.99462,Medium
red,10.13,0.347,0.282,4.12,0.0889,3.343,0.778,10.08,0.99678,High
red,10.41,0.515,0.26,6.22,0.0931,3.067,0.641,10.83,0.99649,Low
red,7.28,0.548,0.27,6.59,0.0567,2.807,0.903,9.75,0.99724,Medium
white,8.0,0.437,0.153,23.48,0.0509,2.959,0.536,11.57,0.9962,Medium
white,6.21,0.306,0.478,8.5,0.046,3.046,0.645,8.71,1.00021,Medium
,7.25,0.423,0.139,54.07,0.0487,3.102,0.443,11.26,0.99438,Low
red,7.0,0.539,0.286,4.47,0.0768,3.228,0.758,10.42,0.99623,Low
white,6.29,0.208,0.435,9.42,0.0401,3.038,0.445,11.41,0.99718,High
red,7.66,0.378,0.306,6.84,0.0347,3.018,0.645,9.58,0.99697,Medium
red,9.39,0.632,0.192,2.5,0.0974,3.061,0.558,10.49,0.99733,Low
red,9.28,0.64,0.148,4.21,0.0849,3.033,0.644,10.46,0.99721,Low
red,8.7,0.552,0.282,13.85,0.0577,3.117,0.562,10.86,0.9974,Low
white,5.51,0.49,0.219,6.59,0.0571,3.11,0.435,9.3,0.99941,Low
red,8.06,0.626,0.335,8.54,0.0733,3.303,0.557,11.07,0.9964,Low
white,6.18,0.408,0.142,7.75,0.0437,3.052,0.715,8.46,0.99687,Low
